edge_id,p_resistance_baseline,p_resistance_under_knockout,p_resistance_under_amplify,delta,note
1.14.13.-::(R)-limonene 6-monooxygenase::ppi,0.34375,0.4375,0.375,-0.0625,
1.14.13.-::1.14.14.1::ppi,0.34375,0.40625,0.34375,-0.0625,
1.14.13.-::1.14.14.1::ppi,0.34375,0.4375,0.375,-0.0625,
1080::1179::ppi,0.34375,0.40625,0.34375,-0.0625,
1080::3.4.19.12::ppi,0.34375,0.40625,0.34375,-0.0625,
1080::2F15::ppi,0.34375,0.375,0.3125,-0.0625,
1.14.13.-::10941::ppi,0.34375,0.40625,0.34375,-0.0625,
2.1.1.320::29078::ppi,0.34375,0.4375,0.375,-0.0625,
2.1.1.320::91942::ppi,0.34375,0.34375,0.28125,-0.0625,
1ZRH::2.8.2.-::ppi,0.34375,0.4375,0.375,-0.0625,
6405::5361::ppi,0.34375,0.4375,0.375,-0.0625,
2.1.1.320::1.-.-.-::ppi,0.34375,0.375,0.3125,-0.0625,
1.14.13.-::1.2.1.36::ppi,0.34375,0.40625,0.34375,-0.0625,
1.14.13.-::2.4.1.17::ppi,0.34375,0.375,0.3125,-0.0625,
1ZRH::2.8.2.-::ppi,0.34375,0.40625,0.34375,-0.0625,
2519::2720::ppi,0.34375,0.375,0.3125,-0.0625,
2B6H::2D7C::ppi,0.34375,0.40625,0.3125,-0.09375,
2B6H::9267::ppi,0.34375,0.4375,0.34375,-0.09375,
1N1A::1E3G::ppi,0.34375,0.40625,0.3125,-0.09375,
6405::55558::ppi,0.34375,0.34375,0.25,-0.09375,
1.14.13.-::1.14.14.1::ppi,0.34375,0.40625,0.3125,-0.09375,
1N1A::1BY7::ppi,0.34375,0.40625,0.3125,-0.09375,
1ZRH::2.8.2.-::ppi,0.34375,0.40625,0.3125,-0.09375,
"1.14.13.-::1,4-cineole 2-exo-monooxygenase::ppi",0.34375,0.375,0.28125,-0.09375,
1.14.13.-::1.14.13.-::ppi,0.34375,0.4375,0.34375,-0.09375,
2.1.1.320::4711::ppi,0.34375,0.40625,0.3125,-0.09375,
2.1.1.320::5XTI::ppi,0.34375,0.4375,0.34375,-0.09375,
1080::NP_056345.3::ppi,0.34375,0.40625,0.3125,-0.09375,
1080::5NJ3::ppi,0.34375,0.4375,0.34375,-0.09375,
1080::1GNA::ppi,0.34375,0.4375,0.34375,-0.09375,
1JUQ::10618::ppi,0.34375,0.375,0.25,-0.125,
1080::1OIV::ppi,0.34375,0.375,0.25,-0.125,
1080::15S Mg(2+)-ATPase p97 subunit::ppi,0.34375,0.46875,0.34375,-0.125,
1080::2316::ppi,0.34375,0.46875,0.34375,-0.125,
1080::R4GNG2::ppi,0.34375,0.46875,0.3125,-0.15625,
