drug_name,spearman_scratch,p_scratch,mse_scratch,n_scratch,spearman_init_a,p_init_a,mse_init_a,n_init_a,delta_init_a_minus_scratch,drug_family
SGX-523,-0.0284048171229257,0.6335960529550647,62823.875,284,0.0837503692374681,0.1592389610274592,62693.78125,284,0.1121551863603938,
Saracatinib (AZD0530),-0.0744342906163442,0.2110832974689829,47916.91796875,284,0.1456217016765862,0.0140358443739063,47804.015625,284,0.22005599229293038,
PRT062607,0.0025130554329919,0.9663679228053438,39789.796875,284,0.0654935136323986,0.2713190604168621,39687.515625,284,0.06298045819940669,
MK-2206,-0.0525690078930801,0.3774459718978498,45665.60546875,284,0.0875922810506078,0.1408986987443999,45557.14453125,284,0.1401612889436879,
MLN120B,-0.0434792573894562,0.4654885321090924,54488.31640625,284,0.036808676582057,0.5367174319246336,54367.79296875,284,0.0802879339715132,
RAF265 (CHIR-265),-0.0050410414642432,0.93259609083231,29791.134765625,284,0.1267867943228445,0.0326914624310396,29703.5078125,284,0.1318278357870877,
17-AAG (Tanespimycin),-0.1223583161905622,0.0393341626708296,26439.724609375,284,0.1308775189838459,0.0274292633103262,26358.0703125,284,0.25323583517440806,
Crenolanib,0.0369246791919204,0.5354337630662129,49674.04296875,284,0.2458655258635957,2.7942932074358624e-05,49559.7734375,284,0.20894084667167528,
KI20227,-0.0744293115531761,0.2111139203642423,39086.875,284,0.0719183545518194,0.2269667003693846,38987.80859375,284,0.1463476661049955,
GSK690693,0.0319568515263821,0.5924045207604927,55630.12109375,283,0.1070739522600347,0.0721035086000184,55508.16796875,283,0.0751171007336526,
NF-kB Activation Inhibitor,-0.0055735857463228,0.9256271306069068,45126.39453125,283,0.1494963212693801,0.0118039410034301,45018.328125,283,0.1550699070157029,
Cabozantinib,0.0482957147600145,0.4183218140641394,33470.90625,283,0.2675861521261871,4.9927967358088965e-06,33379.203125,283,0.2192904373661726,
GSK-1904529A,0.1065252700860445,0.073583394747723,56870.70703125,283,0.0505911781392689,0.3965206253804943,56747.08984375,283,-0.055934091946775594,
Midostaurin,0.0953390066071739,0.1095100442789476,42803.95703125,283,0.2418419711586689,3.929240775244588e-05,42698.5625,283,0.146502964551495,
Masitinib (AB-1010),0.0065256241783635,0.913124532494582,41699.34765625,282,0.1202634171049562,0.0435990139196015,41594.90625,282,0.1137377929265927,
TG100-115,-0.0607727393442132,0.3091747631839372,58336.890625,282,0.0634060762904897,0.2886409238012494,58211.40625,282,0.1241788156347029,
MGCD-265,-0.0158268577939681,0.7916717220048829,44169.140625,281,0.2008312442263493,0.0007089287499208,44061.859375,281,0.21665810202031738,
S31-201,-0.0005981701456043,0.9920352789316258,51150.34375,281,0.16610919427866,0.0052463614072174,51034.59765625,281,0.1667073644242643,
SU11274,0.0249384219385444,0.6772304179301384,49532.24609375,281,0.1393907590863419,0.0194068302521041,49417.12109375,281,0.11445233714779751,
Idelalisib,-0.0550500968537444,0.3587551983550184,38069.60546875,280,0.1014294769247462,0.0902617402124467,37970.33203125,280,0.1564795737784906,
