feature_gene,uniprot_id,tier,source,has_esm2_embedding
THBS4,P35443,1,HGNC_symbol,False
THEM4,Q5T1C6,1,HGNC_symbol,True
THEM5,Q8N1Q8,1,HGNC_symbol,False
THEM6,Q8WUY1,1,HGNC_symbol,True
THEMIS,Q8N1K5,1,HGNC_symbol,False
THEMIS2,Q5TEJ8,1,HGNC_symbol,True
THG1L,Q9NWX6,1,HGNC_symbol,False
THNSL1,Q8IYQ7,1,HGNC_symbol,False
THNSL2,Q86YJ6,1,HGNC_symbol,False
THOC1,Q96FV9,1,HGNC_symbol,False
THOC2,Q8NI27,1,HGNC_symbol,False
THOC3,Q96J01,1,HGNC_symbol,False
THOC5,Q13769,1,HGNC_symbol,False
THOC6,Q86W42,1,HGNC_symbol,False
THOC7,Q6I9Y2,1,HGNC_symbol,False
THOP1,P52888,1,HGNC_symbol,False
THPO,P40225,1,HGNC_symbol,True
THRA,P10827,1,HGNC_symbol,True
THRAP3,Q9Y2W1,1,HGNC_symbol,False
THRAP3P1,,0,unmapped,False
THRB,P10828,1,HGNC_symbol,False
THRSP,Q92748,1,HGNC_symbol,True
THSD1,Q9NS62,1,HGNC_symbol,False
THSD4,Q6ZMP0,1,HGNC_symbol,True
THSD7A,Q9UPZ6,1,HGNC_symbol,False
THSD7B,Q9C0I4,1,HGNC_symbol,False
THSD8,A0A1W2PP97,1,HGNC_symbol,True
THTPA,Q9BU02,1,HGNC_symbol,False
THUMPD1,Q9NXG2,1,HGNC_symbol,True
THUMPD2,Q9BTF0,1,HGNC_symbol,True
THUMPD3,Q9BV44,1,HGNC_symbol,False
THY1,P04216,1,HGNC_symbol,True
THYN1,Q9P016,1,HGNC_symbol,False
TIA1,P31483,1,HGNC_symbol,False
TIAF1,12 kDa TGF-beta-1-induced antiapoptotic factor,5,STRING_alias,False
TIAL1,Q01085,1,HGNC_symbol,True
TIAM1,Q13009,1,HGNC_symbol,False
TIAM2,Q8IVF5,1,HGNC_symbol,False
TICAM1,Q8IUC6,1,HGNC_symbol,False
TICAM2,Q86XR7,1,HGNC_symbol,False
TICRR,Q7Z2Z1,1,HGNC_symbol,False
TIE1,P35590,1,HGNC_symbol,False
TIFA,Q96CG3,1,HGNC_symbol,True
TIFAB,Q6ZNK6,1,HGNC_symbol,False
TIGAR,Q9NQ88,1,HGNC_symbol,False
TIGD1,Q96MW7,1,HGNC_symbol,False
TIGD2,Q4W5G0,1,HGNC_symbol,True
TIGD3,Q6B0B8,1,HGNC_symbol,False
TIGD4,Q8IY51,1,HGNC_symbol,True
TIGD5,Q53EQ6,1,HGNC_symbol,False
TIGD6,Q17RP2,1,HGNC_symbol,False
TIGD7,Q6NT04,1,HGNC_symbol,False
TIGIT,Q495A1,1,HGNC_symbol,True
TIMD4,Q96H15,1,HGNC_symbol,False
