edge_id,source_raw,target_raw,edge_type,source_hgnc,target_hgnc,source_uniprot,target_uniprot,delta,abs_delta,is_top_decile,depmap_target_gene_effect_median,target_frac_essential,target_is_common_essential,drug_target_support,refusal_reason
1N1A::2L0P::ppi,1N1A,2L0P,ppi,FKBP4,S100A1,D3DUQ1,B2R5D9,0.03125,0.03125,False,-0.0582205270693342,0.0018264840182648,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::2P57::ppi,2B6H,2P57,ppi,ARF5,ARFGAP2,P26437,B4DX29,0.03125,0.03125,False,0.0936753069487952,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::27236::ppi,2B6H,27236,ppi,ARF5,ARFIP1,P26437,B4DS69,0.03125,0.03125,False,0.0576774069646355,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1N1A::3O5J::ppi,1N1A,3O5J,ppi,FKBP4,FKBP5,D3DUQ1,F5H7R1,0.03125,0.03125,False,0.0600530456099864,0.0,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
2B6H::84440::ppi,2B6H,84440,ppi,ARF5,RAB11FIP4,P26437,Q52LI1,0.03125,0.03125,False,-0.1655799490176889,0.0091324200913242,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::1UYA::ppi,1080,1UYA,ppi,CFTR,GUCA2B,P13569,Q16661,0.03125,0.03125,False,-0.0454012574290354,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::3308::ppi,1080,3308,ppi,CFTR,HSPA4,P13569,O95756,0.03125,0.03125,False,-0.0111037019733407,0.0045662100456621,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::1QZ2::ppi,1080,1QZ2,ppi,CFTR,FKBP4,P13569,D3DUQ1,0.03125,0.03125,False,-0.0215469238204344,0.0073059360730593,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::2.3.2.26::ppi,1080,2.3.2.26,ppi,CFTR,G2E3,P13569,Q7L622,0.03125,0.03125,False,0.0154567049621242,0.0018264840182648,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::23433::ppi,1080,23433,ppi,CFTR,RHOQ,P13569,D6W5A6,0.03125,0.03125,False,-0.8971351006596504,0.9726027397260274,True,False,no_drug_target_evidence
1080::1CGI::ppi,1080,1CGI,ppi,CFTR,SPINK1,P13569,P00995,0.03125,0.03125,False,0.0358865186445142,0.0009132420091324,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
1080::14-3-3 protein gamma::ppi,1080,14-3-3 protein gamma,ppi,CFTR,YWHAG,P13569,O70457,0.03125,0.03125,False,-0.2746558514672608,0.084931506849315,False,False,downstream_gene_not_common_essential;no_drug_target_evidence
