drug_name,spearman_scratch,p_scratch,mse_scratch,n_scratch,spearman_init_a,p_init_a,mse_init_a,n_init_a,delta_init_a_minus_scratch,drug_family
Elesclomol,-0.0081508204414837,0.8935528854013282,6885.64501953125,272,-0.2108826966156293,0.0004628084210569,6829.83349609375,272,-0.20273187617414562,
GDC-0941,0.043974057839674,0.4726234593599082,27389.8515625,269,-0.2139138347382669,0.0004107275851951,27245.123046875,269,-0.25788789257794087,
Ibrutinib (PCI-32765),0.1104486507151496,0.0783318555105936,45553.953125,255,-0.0798037428393086,0.2040385974913809,45364.7734375,255,-0.19025239355445822,
ABT-737,0.01013954443676,0.8776531027770643,37717.3125,233,-0.0287584551603753,0.6623229516066577,37547.57421875,233,-0.0388979995971353,
DBZ,-0.0027757172422809,0.96872646262758,54730.1875,202,0.0524533239668884,0.4584594740788251,54521.38671875,202,0.0552290412091693,
Vemurafenib (PLX-4032),-0.0817756177024687,0.2496655604385546,64325.16015625,200,0.1126810899958052,0.1121447587368391,64096.76171875,200,0.1944567076982739,
Venetoclax,-0.0184578230119027,0.802544465065864,31507.177734375,186,0.0739945395750589,0.3155113350661609,31359.478515625,186,0.0924523625869616,BCL2_inhibitor
JQ1,0.1117624395600161,0.1309352257895192,20855.751953125,184,-0.2328131155373886,0.001471093844839,20731.189453125,184,-0.3445755550974047,
Volasertib (BI-6727),-0.0459827058187714,0.5365046438005675,26429.689453125,183,-0.1452051508618562,0.0498503069281515,26285.810546875,183,-0.0992224450430848,
Lenvatinib,0.1835922914655854,0.01336341892773,32210.568359375,181,-0.0550071135562773,0.4620502680264445,32052.6484375,181,-0.2385994050218627,
Bay 11-7085,0.0343209971485881,0.6464654421228142,61938.7421875,181,-0.0109607116367559,0.883570846288959,61715.71875,181,-0.045281708785344,
Nutlin 3a,0.0392049863423168,0.61602144187664,67062.5390625,166,0.0062611050044969,0.9361896013624448,66828.90625,166,-0.0329438813378199,
Entospletinib (GS-9973),0.0661545348707282,0.418076615700809,38608.5859375,152,0.0641675686872528,0.4322248407909743,38434.9921875,152,-0.0019869661834753943,
Palbociclib,0.0220707068685229,0.8024170573539472,57157.3203125,131,0.0371671802455099,0.6734145195571416,56942.6015625,131,0.015096473376987,CDK_inhibitor
Panobinostat,0.0300084119695215,0.7366810788195544,15231.15234375,128,-0.2038849674258204,0.0209785904304429,15138.75,128,-0.2338933793953419,HDAC_inhibitor
Gilteritinib (ASP-2215),0.3658013098713801,5.815410322095652e-05,24033.0390625,115,0.1026164046597587,0.2751406342561747,23900.2421875,115,-0.2631849052116214,
BI-2536,-0.1396179550548679,0.1534609874599164,28734.47265625,106,-0.0022520650227167,0.981720839265624,28585.080078125,106,0.13736589003215122,
Lovastatin,-0.08848813998666,0.3740881554333635,55372.3671875,103,-0.0611578643897913,0.5394238858640781,55163.11328125,103,0.027330275596868694,
SR9011,0.1405510248206651,0.1567554854848632,63785.5078125,103,0.1062418666846527,0.2854733788503514,63558.90625,103,-0.03430915813601239,
Lenalidomide,0.1031774032029537,0.3070027208728401,60316.4765625,100,0.1107632498373227,0.2726035567090444,60098.3046875,100,0.007585846634369009,IMiD
Staurosporine,0.0270484456814,0.8047444081347709,41635.46484375,86,-0.1614423389910834,0.1375419920580589,41457.390625,86,-0.1884907846724834,
PLX-4720,-0.0006058237248387,0.9956094882028144,53245.3125,85,-0.0414209567180862,0.7066272290982194,53037.91796875,85,-0.0408151329932475,
TG101348,0.0220393770202762,0.843227216620197,26802.4453125,83,-0.0722370609821718,0.5163520133252611,26657.41796875,83,-0.09427643800244799,
Go6976,0.1360774106880483,0.2199586781500353,38213.92578125,83,0.1197479101854685,0.2809017020016868,38041.2734375,83,-0.016329500502579794,
Tandutinib (MLN518),0.0938798554652213,0.4044897655086406,42866.1171875,81,0.0720532523343255,0.5226721944568157,42682.55078125,81,-0.021826603130895808,
Lestaurtinib (CEP-701),0.0183309892170651,0.8717858974687617,31691.375,80,0.0477733695118934,0.6738913581735048,31535.203125,80,0.029442380294828298,
Selinexor,0.0030212099878353,0.979335633336043,17984.576171875,76,0.1013957812136871,0.3834554377583776,17873.546875,76,0.0983745712258518,XPO1_inhibitor
Entrectinib,0.3497998856489422,0.009519118475245,34049.4453125,54,-0.1477825001697818,0.2862276896483777,33886.4453125,54,-0.49758238581872405,
