cell_idx,predicted_mechanism,confidence,prob_drug_efflux,prob_clonal_evolution,prob_immune_escape,prob_microenvironmental
13893,immune_escape,0.27060193,0.24776192,0.23769718,0.27060193,0.2439389
13894,immune_escape,0.27010474,0.24910805,0.23591304,0.27010474,0.2448742
13895,immune_escape,0.271457,0.24900681,0.23481235,0.271457,0.24472384
13896,immune_escape,0.27180475,0.24923213,0.23427081,0.27180475,0.24469228
13897,immune_escape,0.26688567,0.24936804,0.23840944,0.26688567,0.24533689
13898,immune_escape,0.2720259,0.24916045,0.2341472,0.2720259,0.24466637
13899,immune_escape,0.26656917,0.24918282,0.23864189,0.26656917,0.24560602
13900,immune_escape,0.26589054,0.25018325,0.23831554,0.26589054,0.24561068
13901,immune_escape,0.26619554,0.2484472,0.24005067,0.26619554,0.24530658
13902,immune_escape,0.26664087,0.25021753,0.2375309,0.26664087,0.24561067
13903,immune_escape,0.2710646,0.2494395,0.23480248,0.2710646,0.24469337
13904,immune_escape,0.26981157,0.24917467,0.23608719,0.26981157,0.24492656
13905,immune_escape,0.26697415,0.24875823,0.23915432,0.26697415,0.24511333
13906,immune_escape,0.26675257,0.2514476,0.23625325,0.26675257,0.24554662
13907,immune_escape,0.2662066,0.2507413,0.23715353,0.2662066,0.24589862
13908,immune_escape,0.26690197,0.24927735,0.23857811,0.26690197,0.24524264
13909,immune_escape,0.26645458,0.25052243,0.23716596,0.26645458,0.24585697
13910,immune_escape,0.26995254,0.24914443,0.23600642,0.26995254,0.24489667
13911,immune_escape,0.26624826,0.24844922,0.24000645,0.26624826,0.24529608
13912,immune_escape,0.2664818,0.24920413,0.23893516,0.2664818,0.24537899
13913,immune_escape,0.27118644,0.24936637,0.23475932,0.27118644,0.24468786
13914,immune_escape,0.26986697,0.24916191,0.2360558,0.26986697,0.24491529
13915,immune_escape,0.27134764,0.249034,0.23487124,0.27134764,0.24474713
13916,immune_escape,0.26906082,0.24998964,0.23580548,0.26906082,0.24514408
13917,immune_escape,0.2719493,0.2492105,0.2341607,0.2719493,0.24467948
13918,immune_escape,0.27045938,0.24903895,0.23568471,0.27045938,0.24481702
13919,immune_escape,0.268962,0.24777508,0.23916121,0.268962,0.24410175
13920,immune_escape,0.27117658,0.24941234,0.23472193,0.27117658,0.2446891
13921,immune_escape,0.26784596,0.25062615,0.23605564,0.26784596,0.2454723
13922,immune_escape,0.26637787,0.2504178,0.23759972,0.26637787,0.2456046
13923,immune_escape,0.27133748,0.24903661,0.2348766,0.27133748,0.24474931
13924,immune_escape,0.26604295,0.24793187,0.24121408,0.26604295,0.24481109
13925,immune_escape,0.26587987,0.25144866,0.23703441,0.26587987,0.24563706
13926,immune_escape,0.27220345,0.24932012,0.23377968,0.27220345,0.24469674
13927,immune_escape,0.27134556,0.24903452,0.23487233,0.27134556,0.24474756
13928,immune_escape,0.27133712,0.2490367,0.2348768,0.27133712,0.24474938
13929,immune_escape,0.27153823,0.24924342,0.23454902,0.27153823,0.2446693
13930,immune_escape,0.27013704,0.24910064,0.23589288,0.27013704,0.24486946
13931,immune_escape,0.27122974,0.24906527,0.23493241,0.27122974,0.24477254
13932,immune_escape,0.27015087,0.24909742,0.23588419,0.27015087,0.24486752
13933,immune_escape,0.27124372,0.24935985,0.23471114,0.27124372,0.2446853
13934,immune_escape,0.27148908,0.2489991,0.2347948,0.27148908,0.24471702
13935,immune_escape,0.2700965,0.24910955,0.23591802,0.2700965,0.2448759
13936,immune_escape,0.26995525,0.2491429,0.23600456,0.26995525,0.2448973
13937,immune_escape,0.2700618,0.24911724,0.2359394,0.2700618,0.24488162
13938,immune_escape,0.27005324,0.2491198,0.23594484,0.27005324,0.24488209
13939,immune_escape,0.26981422,0.24917567,0.23608738,0.26981422,0.24492273
13940,immune_escape,0.27135116,0.2490331,0.23486936,0.27135116,0.24474637
13941,immune_escape,0.27128655,0.24904992,0.23490329,0.27128655,0.24476025
13942,immune_escape,0.27145502,0.2490073,0.23481345,0.27145502,0.24472429
13943,immune_escape,0.270231,0.24908048,0.23583381,0.270231,0.24485472
13944,immune_escape,0.26981324,0.24917695,0.23608865,0.26981324,0.24492124
13945,immune_escape,0.2713562,0.2490318,0.23486668,0.2713562,0.24474528
13946,immune_escape,0.27010128,0.24911055,0.23591536,0.27010128,0.24487278
13947,immune_escape,0.27148744,0.24899949,0.2347957,0.27148744,0.24471739
