2026-04-11 00:24:45 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 12/200 — train_loss=1.4277 val_loss=1.8553 recon=1.2130 kl=0.4879 kl_weight=0.4400
2026-04-11 00:24:46 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:46 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 13/200 — train_loss=1.3845 val_loss=1.7063 recon=1.1732 kl=0.4402 kl_weight=0.4800
2026-04-11 00:24:47 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:48 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 14/200 — train_loss=1.3271 val_loss=1.6165 recon=1.1104 kl=0.4168 kl_weight=0.5200
2026-04-11 00:24:49 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:49 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 15/200 — train_loss=1.3090 val_loss=1.5125 recon=1.0850 kl=0.4000 kl_weight=0.5600
2026-04-11 00:24:50 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:50 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 16/200 — train_loss=1.2722 val_loss=1.4462 recon=1.0378 kl=0.3906 kl_weight=0.6000
2026-04-11 00:24:51 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:52 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 17/200 — train_loss=1.2378 val_loss=1.3871 recon=0.9916 kl=0.3846 kl_weight=0.6400
2026-04-11 00:24:53 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:53 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 18/200 — train_loss=1.2234 val_loss=1.3502 recon=0.9596 kl=0.3880 kl_weight=0.6800
2026-04-11 00:24:54 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:54 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 19/200 — train_loss=1.2027 val_loss=1.3018 recon=0.9270 kl=0.3830 kl_weight=0.7200
2026-04-11 00:24:55 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:56 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 20/200 — train_loss=1.1655 val_loss=1.2608 recon=0.8826 kl=0.3722 kl_weight=0.7600
2026-04-11 00:24:56 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:57 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 21/200 — train_loss=1.1866 val_loss=1.2349 recon=0.9116 kl=0.3437 kl_weight=0.8000
2026-04-11 00:24:58 | INFO    | resistancemap | Checkpoint saved: checkpoints/vae_pretrained.pt
2026-04-11 00:24:58 | INFO    | resistancemap.models.vae | [vae_pretrained] Epoch 22/200 — train_loss=1.1323 val_loss=1.2318 recon=0.8616 kl=0.3223 kl_weight=0.8400
